id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
162	39	yesno	Trailer Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Side under-run damaged	0	0	1	0	1	0	\N	Roadworthy if there are no evident sharp edges	1	1
163	40	yesno	Trailer Reflective Markings	Are the side and rear refective markings fitted, clean and in good condition?	Are the side and rear refective markings fitted, clean and in good condition?	Damaged	0	0	1	0	0	0	\N	Roadworthy - item to be inspected / replaced	1	1
164	40	yesno	Trailer Reflective Markings	Are the side and rear refective markings fitted, clean and in good condition?	Are the side and rear refective markings fitted, clean and in good condition?	Missing	0	0	1	0	0	0	\N	Roadworthy - item to be inspected / replaced	1	1
165	41	yesno	Trailer Suspension	Is the trailer sitting square and not leaning to one side?	Is the trailer sitting square and not leaning to one side?	Leaning to one side	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
166	42	yesno	Trailer Trailer Coupling Pin	Is the pin in good condition?	Is the pin in good condition?	Pin damaged	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
167	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Cords visible	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
168	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Puncture	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
169	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Side wall damage	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
170	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Tread below legal limit 1.0 mm	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
171	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Tread nearing legal limit 1.0 mm	0	0	1	0	1	0	\N	Roadworthy but change at 3mm as per company policy	1	1
172	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Under inflated	0	0	0	0	1	0	\N	Not roadworthy	1	1
173	43	yesno	Trailer Tyres	Are the tyres free from defects?	Are the tyres free from defects?	Uneven tread wear	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
174	44	yesno	Trailer Wheels	Are the wheels free from defects?	Are the wheels free from defects?	Missing wheel nuts	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
175	45	yesno	Trailer Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Hydraulic leak	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
176	45	yesno	Trailer Leaks	Walk around the vehicle. Is the vehicle free from leaks?	Walk around the vehicle. Is the vehicle free from leaks?	Air leak	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
177	49	media_based_on_selection	Vehicle Condition	Would you like to take any photos of the vehicle’s general condition?	Would you like to take any photos of the vehicle’s general condition?	max_media_16	0	0	0	0	0	0	\N	\N	1	1
178	50	declaration	Driving License	I confirm that I have the appropriate licence to drive this vehicle and I will inform the company of any licence endorsements, driving infringements and restrictions, incurred on or off duty.	I confirm that I have the appropriate licence to drive this vehicle and I will inform the company of any licence endorsements, driving infringements and restrictions, incurred on or off duty.		0	0	0	0	0	0			1	1
179	51	declaration	Drink and Drugs	I confirm I am free from drink and drugs.	I confirm I am free from drink and drugs.		0	0	0	0	0	0			1	1
180	52	declaration	Prescription Drugs	I confirm that any prescription drugs that I use, have been approved as safe to use whilst driving.	I confirm that any prescription drugs that I use, have been approved as safe to use whilst driving.		0	0	0	0	0	0			1	1
181	53	declaration	Physical Health and Condition	I confirm that I am fit and well to drive this vehicle. 	I confirm that I am fit and well to drive this vehicle. 		0	0	0	0	0	0			1	1
