id	order	page_title	app_question	app_question_with_defect	defect	defect_order	has_image	has_text	is_prohibitional	safety_notes	for_hgv	for_non-hgv
102	12	Wheels	Are the wheels free from defects?	Are the wheels free from defects?	Re-torque required	0	0	0	1	Roadworthy but needs workshop visit	1	1
103	12	Wheels	Are the wheels free from defects?	Are the wheels free from defects?	Wheel nut indicators missing	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
104	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged nearside door	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
105	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged nearside body panel	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
106	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged nearside sliding door	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
107	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged nearside sideguard	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
108	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged offside door	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
109	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged offside body panel	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
110	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged offside sliding door	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
111	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged offside sideguard	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
112	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged front grill	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
113	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged bonnet	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
114	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged front bumper	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
115	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged front wind deflector	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
116	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged rear doors	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
117	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged rear bumper	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
118	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Damaged fuel/adblue tank	0	1	0	1	Roadworthy if there are no evident sharp edges	1	1
119	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Loose body bolts	0	0	0	1	Roadworthy but needs workshop visit	1	1
120	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Loose body brackets	0	0	0	1	Roadworthy but needs workshop visit	1	1
121	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Number plate damaged	0	1	0	1	Roadworthy if present and legible	1	1
122	13	Bodywork and Number Plate	Is the bodywork and number plate free from damage and sharp edges?	Is the bodywork and number plate free from damage and sharp edges?	Number plate missing	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
123	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged nearside truckman panel	0	1	0	1	Roadworthy if top is operable and free of sharp edges	1	1
124	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged/INOP nearside truckman door	0	1	0	1	Roadworthy if top is operable and free of sharp edges	1	1
125	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged offside trackman panel	0	1	0	1	Roadworthy if top is operable and free of sharp edges	1	1
126	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged/INOP offside truckman door	0	1	0	1	Roadworthy if top is operable and free of sharp edges	1	1
127	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged rear truckman door	0	1	0	1	Roadworthy if top is operable and free of sharp edges	1	1
128	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged rear truckman tail gate	0	1	0	1	Roadworthy if top is operable and free of sharp edges	1	1
129	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Damaged interior truckman light	0	0	0	1	Roadworthy but obtain a replacement	1	1
130	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Interior light bulb blown	0	0	0	1	Roadworthy but obtain a replacement	1	1
131	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Drawer damaged	0	1	0	1	Roadworthy if no risk of injury is evident to the driver	1	1
132	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Release button damaged	0	1	0	1	Roadworthy if no risk of injury is evident to the driver	1	1
133	14	Truckman Top	Is the truckman top free from damage, sharp edges and defects?	Is the truckman top free from damage, sharp edges and defects?	Drawer runner faulty	0	1	0	1	Roadworthy if no risk of injury is evident to the driver	1	1
134	15	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof bars not secure	0	1	0	1	Not roadworthy secure roof bars	1	1
135	15	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof bars damaged	0	1	0	1	Roadworthy if bars are operable and free of sharp edges	1	1
136	15	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof bar brackets causing door rubber damage	0	1	0	1	Roadworthy if bars are operable and free of sharp edges	1	1
137	15	Roof Bars and Racking Systems	Are the roof bars and racking systems free from defects?	Are the roof bars and racking systems free from defects?	Roof bars missing or stolen	0	1	0	1	Roadworthy but report immediately	1	1
